age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,ID
42,technician,married,professional.course,unknown,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,e7b9c62c
45,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,5cbdd4eb
36,services,single,high.school,no,yes,no,cellular,may,wed,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,19d268fe
41,management,single,high.school,no,no,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,6c105411
43,technician,married,professional.course,no,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,8d5a0ebc
57,admin.,married,university.degree,unknown,no,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,cd58b601
50,housemaid,married,basic.4y,no,no,yes,cellular,jul,wed,1,4,1,success,-1.7,94.215,-40.3,0.896,4991.6,yes,3aae5227
45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri,9,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,7564f18a
44,admin.,single,university.degree,no,no,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,57c94d39
37,self-employed,married,high.school,no,no,no,telephone,may,fri,8,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,56970a1b
33,admin.,single,high.school,unknown,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,405f8793
31,self-employed,single,professional.course,no,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,57898fb5
44,blue-collar,married,high.school,no,no,no,cellular,apr,mon,2,999,1,failure,-1.8,93.075,-47.1,1.466,5099.1,no,742525be
36,admin.,married,high.school,no,yes,no,cellular,mar,thu,3,999,0,nonexistent,-1.8,92.843,-50.0,1.584,5099.1,yes,a4a951c5
42,technician,single,high.school,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,5c7869c3
32,technician,single,professional.course,no,yes,no,cellular,nov,fri,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,5469fa4c
28,admin.,single,high.school,no,no,no,cellular,mar,fri,2,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,yes,0fa718d9
44,blue-collar,divorced,basic.6y,unknown,no,yes,telephone,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,2ebbc65f
43,services,single,high.school,unknown,no,no,cellular,nov,fri,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no,5d56aaf1
35,admin.,married,university.degree,no,no,no,cellular,dec,tue,1,999,0,nonexistent,-3.0,92.713,-33.0,0.707,5023.5,no,9e7b8afa
36,entrepreneur,married,high.school,no,yes,no,cellular,apr,tue,7,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no,2e531f7a
52,management,married,high.school,no,no,no,cellular,aug,tue,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,yes,4a904f2d
46,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,f9418cc5
28,management,married,university.degree,no,yes,yes,cellular,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,8a72bf2b
31,entrepreneur,married,university.degree,no,yes,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,c607f50c
55,technician,married,professional.course,unknown,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,5e7c5ec2
25,services,single,unknown,no,yes,yes,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,57712417
43,blue-collar,divorced,basic.9y,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,67f2a57b
48,blue-collar,married,basic.4y,no,no,no,cellular,may,wed,1,12,1,success,-1.8,92.893,-46.2,1.334,5099.1,no,f7513201
30,technician,married,professional.course,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,b02a65b0
40,services,single,high.school,no,yes,yes,telephone,jun,mon,21,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,d4a043b5
30,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,75b45f9f
